teams,link,location,schedule_result,timestamp,gmt_local_time,team1,team2,match_number,stadium,city,winner,match_datetime,match_date,match_time,local_time
"Delhi Capitals vs Punjab Kings, 2nd Match",https://www.cricbuzz.com/cricket-scores/89661/dc-vs-pbks-2nd-match-indian-premier-league-2024,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Punjab Kings won by 4 wkts,1711188000000,10:00 AM GMT	/ 03:30 PM LOCAL,Delhi Capitals,Punjab Kings,2,Maharaja Yadavindra Singh International Cricket Stadium,Chandigarh,Punjab Kings,2024-03-23 06:00:00,2024-03-23,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Rajasthan Royals vs Lucknow Super Giants, 4th Match",https://www.cricbuzz.com/cricket-scores/89668/rr-vs-lsg-4th-match-indian-premier-league-2024,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals won by 20 runs,1711274400000,10:00 AM GMT	/ 03:30 PM LOCAL,Rajasthan Royals,Lucknow Super Giants,4,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,2024-03-24 06:00:00,2024-03-24,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Punjab Kings vs Royal Challengers Bengaluru, 6th Match",https://www.cricbuzz.com/cricket-scores/89682/pbks-vs-rcb-6th-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru won by 4 wkts,1711375200000,02:00 PM GMT	/ 07:30 PM LOCAL,Punjab Kings,Royal Challengers Bengaluru,6,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bengaluru,2024-03-25 10:00:00,2024-03-25,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Chennai Super Kings vs Gujarat Titans, 7th Match",https://www.cricbuzz.com/cricket-scores/89689/csk-vs-gt-7th-match-indian-premier-league-2024,"MA Chidambaram Stadium, Chennai",Chennai Super Kings won by 63 runs,1711461600000,02:00 PM GMT	/ 07:30 PM LOCAL,Chennai Super Kings,Gujarat Titans,7,MA Chidambaram Stadium,Chennai,Chennai Super Kings,2024-03-26 10:00:00,2024-03-26,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Mumbai Indians, 8th Match",https://www.cricbuzz.com/live-cricket-scores/89693/srh-vs-mi-8th-match-indian-premier-league-2024,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad won by 31 runs,1711548000000,02:00 PM GMT	/ 07:30 PM LOCAL,Sunrisers Hyderabad,Mumbai Indians,8,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,2024-03-27 10:00:00,2024-03-27,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Rajasthan Royals vs Delhi Capitals, 9th Match",https://www.cricbuzz.com/live-cricket-scores/89700/rr-vs-dc-9th-match-indian-premier-league-2024,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals won by 12 runs,1711634400000,02:00 PM GMT	/ 07:30 PM LOCAL,Rajasthan Royals,Delhi Capitals,9,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,2024-03-28 10:00:00,2024-03-28,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Royal Challengers Bengaluru vs Kolkata Knight Riders, 10th Match",https://www.cricbuzz.com/live-cricket-scores/89703/rcb-vs-kkr-10th-match-indian-premier-league-2024,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders won by 7 wkts,1711720800000,02:00 PM GMT	/ 07:30 PM LOCAL,Royal Challengers Bengaluru,Kolkata Knight Riders,10,M.Chinnaswamy Stadium,Bengaluru,Kolkata Knight Riders,2024-03-29 10:00:00,2024-03-29,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Lucknow Super Giants vs Punjab Kings, 11th Match",https://www.cricbuzz.com/live-cricket-scores/89710/lsg-vs-pbks-11th-match-indian-premier-league-2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants won by 21 runs,1711807200000,02:00 PM GMT	/ 07:30 PM LOCAL,Lucknow Super Giants,Punjab Kings,11,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Lucknow Super Giants,2024-03-30 10:00:00,2024-03-30,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
"Sunrisers Hyderabad vs Gujarat Titans, 12th Match",https://www.cricbuzz.com/live-cricket-scores/89717/srh-vs-gt-12th-match-indian-premier-league-2024,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans won by 7 wkts,1711879200000,10:00 AM GMT	/ 03:30 PM LOCAL,Sunrisers Hyderabad,Gujarat Titans,12,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,2024-03-31 06:00:00,2024-03-31,06:00:00,"['10:00 AM GMT', '/ 03:30 PM LOCAL']"
"Mumbai Indians vs Rajasthan Royals, 14th Match",https://www.cricbuzz.com/live-cricket-scores/89731/mi-vs-rr-14th-match-indian-premier-league-2024,"Wankhede Stadium, Mumbai","Match starts at Apr 01, 14:00 GMT",1711980000000,02:00 PM GMT	/ 07:30 PM LOCAL,Mumbai Indians,Rajasthan Royals,14,Wankhede Stadium,Mumbai,,2024-04-01 10:00:00,2024-04-01,10:00:00,"['02:00 PM GMT', '/ 07:30 PM LOCAL']"
